addr1,addr2,addr3,addr4,suburb,postcode,area,area_unit,price,type,contract_date,settle_date
,13,18 A,WYATT AVE,BURWOOD,2134,,,1700000,RESIDENCE,20220307,20220530
,,353,GEORGES RIVER RD,CROYDON PARK,2133,404.7,M,650000,RESIDENCE,20220518,20220526
,,25,BURWOOD RD,BURWOOD,2134,505.8,M,6500000,COMMERCIAL,20220209,20220601
,,14,IRRARA ST,CROYDON,2132,457,M,2950000,RESIDENCE,20220305,20220530
,,3,WALLACE ST,BURWOOD,2134,1277.2,M,4050000,RESIDENCE,20220408,20220527
BUILDING A,1,60,VICTORIA ST,BURWOOD,2134,120,M,1230000,RESIDENCE,20220331,20220531
,411,15,CLARENCE ST,BURWOOD,2134,118,M,1245000,RESIDENCE,20211202,20220527
,607,15,CLARENCE ST,BURWOOD,2134,122,M,1135000,RESIDENCE,20211126,20220527
,701,15,CLARENCE ST,BURWOOD,2134,86,M,875000,RESIDENCE,20220407,20220601
,609 A,68,RAILWAY PDE,BURWOOD,2134,117,M,871000,RESIDENCE,20220402,20220531
,,50,FIRST ST,ASHBURY,2193,455.29,M,1670000,RESIDENCE,20220419,20220531
,7,219,CROYDON RD,CROYDON,2132,,,1268000,RESIDENCE,20220403,20220531
,6,411,LIVERPOOL RD,ASHFIELD,2131,,,761000,RESIDENCE,20220430,20220531
,605,1,MARKHAM PL,ASHFIELD,2131,84,M,672000,RESIDENCE,20220429,20220531
,10,35,ORPINGTON ST,ASHFIELD,2131,,,740000,RESIDENCE,20220326,20220530
,,16,AUSTRALIA ST,CROYDON,2132,588.1,M,2100000,RESIDENCE,20220326,20220530
,,2 A,TAWA ST,ASHFIELD,2131,417.3,M,1900000,RESIDENCE,20220420,20220601
,2,99,BLAND ST,ASHFIELD,2131,,,850000,RESIDENCE,20220421,20220602
,20,7,LOFTUS ST,ASHFIELD,2131,,,730000,RESIDENCE,20220414,20220527
,,12,VICTORIA SQ,ASHFIELD,2131,660.35,M,4950000,RESIDENCE,20220212,20220531
,2,29,ALT ST,ASHFIELD,2131,,,912000,RESIDENCE,20220328,20220527
,2,33,ELIZABETH ST,ASHFIELD,2131,,,865000,RESIDENCE,20220420,20220601
,,67,HOLDEN ST,ASHFIELD,2131,328.8,M,1650000,RESIDENCE,20220409,20220530
,,12,KING ST,ASHFIELD,2131,696.77,M,2750000,RESIDENCE,20211202,20220602
,,22,KING ST,ASHFIELD,2131,347.77,M,1800000,RESIDENCE,20220427,20220601
,,67,CROYDON RD,CROYDON,2132,205.7,M,1450000,RESIDENCE,20220419,20220530
,3,6,DUNMORE ST,CROYDON PARK,2133,,,682500,RESIDENCE,20220410,20220606
,5,9,ALBERT RD,CROYDON PARK,2133,,,565000,RESIDENCE,20220427,20220608
,5,71,BRIGHTON AVE,CROYDON PARK,2133,,,530000,RESIDENCE,20220405,20220606
,,21,FIFTH ST,ASHBURY,2193,487.72,M,2450000,RESIDENCE,20220311,20220603
,7,9,QUEENSBOROUGH RD,CROYDON PARK,2133,,,560000,RESIDENCE,20220422,20220603
,10,7,QUEENSBOROUGH RD,CROYDON PARK,2133,,,385000,RESIDENCE,20220422,20220603
,106,1,MARKHAM PL,ASHFIELD,2131,106,M,660000,RESIDENCE,20220304,20220606
,,117,CROYDON RD,CROYDON,2132,468.22,M,1925000,RESIDENCE,20220312,20220606
,,27,PARK AVE,ASHFIELD,2131,207.7,M,1845000,RESIDENCE,20220423,20220603
,,5,HUGH ST,ASHFIELD,2131,459.94,M,2030000,RESIDENCE,20220409,20220606
,6,67,CHANDOS ST,ASHFIELD,2131,,,1240000,RESIDENCE,20220423,20220606
,,68,SEAVIEW ST,ASHFIELD,2131,512,M,2515000,RESIDENCE,20220305,20220603
,,70,SEAVIEW ST,ASHFIELD,2131,496,M,2375000,RESIDENCE,20220423,20220603
,,4,PARKHILL ST,CROYDON PARK,2133,385.7,M,1600000,RESIDENCE,20220422,20220603
,,7,WALSH AVE,CROYDON PARK,2133,445.82,M,950000,RESIDENCE,20220504,20220607
,401,15,CLARENCE ST,BURWOOD,2134,86,M,795000,RESIDENCE,20210726,20220609
,403,15,CLARENCE ST,BURWOOD,2134,107,M,1130000,RESIDENCE,20220426,20220608
,407,15,CLARENCE ST,BURWOOD,2134,120,M,1128600,RESIDENCE,20220531,20220608
,3,3,WILGA ST,BURWOOD,2134,147,M,430000,RESIDENCE,20220407,20220609
,6,66,STANLEY ST,BURWOOD,2134,143,M,980000,RESIDENCE,20220413,20220608
,,43,WALKER ST,CANADA BAY,2046,512.2,M,2756000,RESIDENCE,20220329,20220607
,,3,ALBERT RD,CROYDON PARK,2133,335.1,M,1650000,RESIDENCE,20220404,20220614
,,61,CRIEFF ST,ASHBURY,2193,572.2,M,2620000,RESIDENCE,20220505,20220616
,,72,ROSLYN ST,ASHBURY,2193,594.4,M,1850000,RESIDENCE,20220429,20220610
,4,6,WEST ST,CROYDON,2132,,,520000,RESIDENCE,20220502,20220616
,6,8,CURT ST,ASHFIELD,2131,,,518000,RESIDENCE,20220516,20220614
,23,354,LIVERPOOL RD,ASHFIELD,2131,,,830000,RESIDENCE,20220502,20220610
,2,32,TINTERN RD,ASHFIELD,2131,,,690000,RESIDENCE,20220502,20220614
,5,48,BLAND ST,ASHFIELD,2131,,,747000,RESIDENCE,20220503,20220614
,,8,HIGHBURY ST,CROYDON,2132,1231.99,M,4478000,RESIDENCE,20220224,20220616
,6,33,ALT ST,ASHFIELD,2131,,,538000,RESIDENCE,20220504,20220615
,,39,ALT ST,ASHFIELD,2131,524.9,M,2740000,RESIDENCE,20220504,20220615
,26,33,HANKS ST,ASHFIELD,2131,,,1015000,RESIDENCE,20220331,20220614
,5,402 B,LIVERPOOL RD,CROYDON,2132,145,M,865000,RESIDENCE,20220421,20220616
,109,402 B,LIVERPOOL RD,CROYDON,2132,118,M,940000,RESIDENCE,20220427,20220616
,,21 A,CHURCH ST,ASHFIELD,2131,188.5,M,1300300,RESIDENCE,20220503,20220614
,,20,WALKER ST,CANADA BAY,2046,409.5,M,2670000,RESIDENCE,20220505,20220616
,,22,WALKER ST,CANADA BAY,2046,324.2,M,2065000,RESIDENCE,20220512,20220615
,,18,BAYVIEW RD,CANADA BAY,2046,281,M,2250000,RESIDENCE,20220413,20220616
,14,53,GEORGES RIVER RD,CROYDON PARK,2133,,,765000,RESIDENCE,20220309,20220609
,21,27,BURWOOD RD,BURWOOD,2134,,,888000,RESIDENCE,20220430,20220614
,,59,BEAUMARIS ST,ENFIELD,2136,392,M,650000,RESIDENCE,20220520,20220610
,,29,LIVERPOOL RD,CROYDON,2132,1246,M,3155000,RESIDENCE,20220312,20220610
,,9,BRITANNIA AVE,BURWOOD,2134,498.7,M,2810000,RESIDENCE,20220430,20220614
,,15,CHELMSFORD AVE,CROYDON,2132,655.02,M,4300000,RESIDENCE,20220322,20220614
,,18,WARATAH ST,CROYDON PARK,2133,524.8,M,2700000,RESIDENCE,20220608,20220610
,,31,WELDON ST,BURWOOD,2134,626,M,2790000,RESIDENCE,20220326,20220615
,17,17,WILGA ST,BURWOOD,2134,,,650000,RESIDENCE,20220430,20220614
,1609,2,MARY ST,BURWOOD,2134,97,M,880000,RESIDENCE,20220509,20220610
,1805,2,MARY ST,BURWOOD,2134,101,M,880000,RESIDENCE,20220504,20220615
,706,2 A,ELSIE ST,BURWOOD,2134,102,M,1075000,RESIDENCE,20220510,20220623
,,4,LINTHORN AVE,CROYDON PARK,2133,390.08,M,1775000,RESIDENCE,20220507,20220620
,,6,RICHMOND ST,CROYDON,2132,445.8,M,1187500,RESIDENCE,20220610,20220617
,10,28,BURWOOD RD,BURWOOD,2134,,,550000,OFFICE,20220420,20220617
,3,145,BURWOOD RD,CROYDON PARK,2133,,,1327000,RESIDENCE,20220507,20220620
,,43,PORTLAND ST,ENFIELD,2136,378.99,M,1920000,RESIDENCE,20220430,20220617
,302,15,CLARENCE ST,BURWOOD,2134,119,M,1278900,RESIDENCE,20220511,20220622
,410,15,CLARENCE ST,BURWOOD,2134,117,M,1210300,RESIDENCE,20220506,20220617
,608,15,CLARENCE ST,BURWOOD,2134,128,M,1150000,RESIDENCE,20220603,20220620
,507,11,DEANE ST,BURWOOD,2134,73,M,660000,OFFICE,20220511,20220617
,1,76,ORPINGTON ST,ASHFIELD,2131,,,1180000,RESIDENCE,20220512,20220623
,,85,CHURCH ST,CROYDON,2132,594.51,M,2255000,RESIDENCE,20220326,20220620
,,2,GREENHILLS ST,CROYDON,2132,335.1,M,1820000,RESIDENCE,20220319,20220620
,,66,MILTON ST,ASHFIELD,2131,360.4,M,2045000,RESIDENCE,20220323,20220621
,24,135,CROYDON AVE,CROYDON PARK,2133,83,M,610000,RESIDENCE,20220419,20220617
,6,10,GLADSTONE ST,BURWOOD,2134,89,M,660000,RESIDENCE,20220608,20220629
,,100,BRIGHTON ST,CROYDON PARK,2133,246.6,M,1565000,RESIDENCE,20220521,20220624
,14,17,GEORGE ST,BURWOOD,2134,,,1600000,RESIDENCE,20220601,20220614
,,12,NICHOLSON ST,BURWOOD,2134,1498.5,M,5360000,RESIDENCE,20220507,20220628
,2,8,GROSVENOR ST,CROYDON,2132,,,788000,RESIDENCE,20220514,20220627
,,23,WARATAH ST,CROYDON PARK,2133,474.3,M,2225000,RESIDENCE,20220315,20220624
,,28 A,ANN ST,ENFIELD,2136,449,M,2795000,RESIDENCE,20220514,20220630
,,121,PORTLAND ST,CROYDON PARK,2133,478.38,M,1878000,RESIDENCE,20220519,20220628
,140,1,RAILWAY PDE,BURWOOD,2134,,,600000,RESIDENCE,20220518,20220629
,3,43,CHELTENHAM RD,CROYDON,2132,,,1600000,RESIDENCE,20220510,20220628
,203,15,CLARENCE ST,BURWOOD,2134,141,M,1322000,RESIDENCE,20220427,20220624
,305,15,CLARENCE ST,BURWOOD,2134,124,M,1295000,RESIDENCE,20220426,20220624
,311,15,CLARENCE ST,BURWOOD,2134,117,M,1252350,RESIDENCE,20220610,20220628
,802,15,CLARENCE ST,BURWOOD,2134,163,M,1808000,RESIDENCE,20211117,20220624
,709,43,BELMORE ST,BURWOOD,2134,111,M,990000,RESIDENCE,20220426,20220629
,706 A,68,RAILWAY PDE,BURWOOD,2134,86,M,680000,RESIDENCE,20220516,20220627
,,18 A,BAYVIEW RD,CANADA BAY,2046,286,M,2250000,RESIDENCE,20220429,20220624
,5,6,WEST ST,CROYDON,2132,,,685000,RESIDENCE,20220518,20220629
,11,34,ALT ST,ASHFIELD,2131,,,700000,RESIDENCE,20220517,20220627
,23,34,ALT ST,ASHFIELD,2131,,,700000,RESIDENCE,20220517,20220627
THE OAKS,33,38,WALLACE ST,ASHFIELD,2131,172,M,1225000,RESIDENCE,20220514,20220627
,,171,EDWIN ST,CROYDON,2132,556.4,M,1950000,RESIDENCE,20220429,20220624
,,8,ALMA ST,ASHFIELD,2131,581.7,M,2009000,RESIDENCE,20220319,20220628
,12,17,CECIL ST,ASHFIELD,2131,,,865000,RESIDENCE,20220519,20220630
,,11,JULIA ST,ASHFIELD,2131,398.4,M,1739999,RESIDENCE,20220520,20220628
,5,25,CHANDOS ST,ASHFIELD,2131,,,790000,RESIDENCE,20220504,20220629
,8,53,FREDERICK ST,ASHFIELD,2131,,,670000,RESIDENCE,20220521,20220630
,1,16,KING ST,ASHFIELD,2131,,,234600,RESIDENCE,20220530,20220624
,31,445,LIVERPOOL RD,ASHFIELD,2131,77,M,580000,RESIDENCE,20220516,20220627
,10,350,LIVERPOOL RD,ASHFIELD,2131,,,842000,RESIDENCE,20220514,20220627
,13,350,LIVERPOOL RD,ASHFIELD,2131,,,1155000,RESIDENCE,20220406,20220627
,28,371,LIVERPOOL RD,ASHFIELD,2131,84,M,600000,RESIDENCE,20220517,20220628
,,7,AYR ST,ASHBURY,2193,562.7,M,3490000,RESIDENCE,20220430,20220627
,16,89,BLAND ST,ASHFIELD,2131,117,M,680000,RESIDENCE,20220611,20220704
,12,20,ORPINGTON ST,ASHFIELD,2131,,,565100,RESIDENCE,20220524,20220705
,17,20,ORPINGTON ST,ASHFIELD,2131,,,565100,RESIDENCE,20220524,20220705
,,48,BAY ST,CROYDON,2132,563,M,2400000,RESIDENCE,20220409,20220704
,,7,PALACE ST,ASHFIELD,2131,541.93,M,1770000,RESIDENCE,20220302,20220704
,5,14,CECIL ST,ASHFIELD,2131,,,880000,RESIDENCE,20220526,20220701
,9,99,ALT ST,ASHFIELD,2131,,,710000,RESIDENCE,20220525,20220706
,2,16,KING ST,ASHFIELD,2131,,,695000,RESIDENCE,20220520,20220701
,11,7,BRUCE ST,ASHFIELD,2131,,,539000,RESIDENCE,20220520,20220701
,55,2 A,BROWN ST,ASHFIELD,2131,145,M,760000,RESIDENCE,20220529,20220705
,206,17,WETHERILL ST,CROYDON,2132,111,M,880000,RESIDENCE,20220429,20220704
,302,2 A,ELSIE ST,BURWOOD,2134,105,M,1000000,RESIDENCE,20220409,20220705
,806,2 A,ELSIE ST,BURWOOD,2134,102,M,1138000,RESIDENCE,20220603,20220701
,501 A,1,ELSIE ST,BURWOOD,2134,,,1000000,RESIDENCE,20220526,20220707
,,120,CROYDON AVE,CROYDON PARK,2133,651.48,M,2680000,RESIDENCE,20220523,20220704
,,15,KING ST,ENFIELD,2136,423.7,M,1675000,RESIDENCE,20220426,20220705
,,2,ALEXANDRA AVE,CROYDON,2132,445.91,M,2350000,RESIDENCE,20220409,20220705
,204,15,CLARENCE ST,BURWOOD,2134,119,M,1243125,RESIDENCE,20220524,20220707
,408,15,CLARENCE ST,BURWOOD,2134,128,M,1157000,RESIDENCE,20220615,20220707
,2,53,NICHOLSON ST,BURWOOD,2134,199,M,1415000,RESIDENCE,20211218,20220704
,7,9,CLARENCE ST,BURWOOD,2134,93,M,900000,RESIDENCE,20220624,20220707
,,28,CROMWELL ST,CROYDON PARK,2133,493.2,M,1862000,RESIDENCE,20220601,20220713
,,144,CROYDON RD,CROYDON,2132,233.4,M,1498000,RESIDENCE,20220327,20220708
,2,26,PEMBROKE ST,ASHFIELD,2131,,,565000,RESIDENCE,20220512,20220714
,,146,EDWIN ST,CROYDON,2132,575.6,M,2220000,VACANT LAND,20220624,20220711
,,28,HIGHBURY ST,CROYDON,2132,322.5,M,1850000,RESIDENCE,20220615,20220711
,1,99,ALT ST,ASHFIELD,2131,,,745000,RESIDENCE,20220607,20220711
,21,115,ALT ST,ASHFIELD,2131,,,677500,RESIDENCE,20220527,20220708
AVONDALE,22,32,CHANDOS ST,ASHFIELD,2131,,,980000,RESIDENCE,20220513,20220708
,,18 A,FREDERICK ST,ASHFIELD,2131,505.9,M,1730000,RESIDENCE,20220607,20220714
,5,95,ALT ST,ASHFIELD,2131,,,1325000,RESIDENCE,20220528,20220708
,811 B,250,LIVERPOOL RD,ASHFIELD,2131,,,746000,RESIDENCE,20220602,20220712
,1201 B,250,LIVERPOOL RD,ASHFIELD,2131,,,1110000,RESIDENCE,20220531,20220712
,116,2 A,BROWN ST,ASHFIELD,2131,125,M,770000,RESIDENCE,20220527,20220708
,1401,29,GEORGE ST,BURWOOD,2134,,,1040000,RESIDENCE,20220531,20220712
,,45,AUSTIN AVE,CROYDON,2132,497,M,1980000,RESIDENCE,20220528,20220711
,5,20,ETHEL ST,BURWOOD,2134,,,600000,RESIDENCE,20220526,20220712
,,10,BRITANNIA AVE,BURWOOD,2134,354.1,M,2255000,RESIDENCE,20220409,20220711
,2,17,GEORGE ST,BURWOOD,2134,,,1700000,RESIDENCE,20220711,20220713
,9,17,GEORGE ST,BURWOOD,2134,,,1600000,RESIDENCE,20220627,20220713
,15,17,GEORGE ST,BURWOOD,2134,,,1700000,RESIDENCE,20220711,20220713
,,14,TAHLEE ST,BURWOOD,2134,474.3,M,2700000,RESIDENCE,20220409,20220711
,42,18,VICTORIA ST,BURWOOD,2134,,,630000,RESIDENCE,20220601,20220713
,5,26,PARK AVE,BURWOOD,2134,,,830000,RESIDENCE,20220414,20220708
,,13,LILY ST,CROYDON PARK,2133,518.5,M,2400000,RESIDENCE,20220316,20220714
BUILDING C,13,1 B,GLOUCESTER AVE,BURWOOD,2134,,,770000,RESIDENCE,20220527,20220708
,409,15,CLARENCE ST,BURWOOD,2134,105,M,1057875,RESIDENCE,20220420,20220516
,807,36,VICTORIA ST,BURWOOD,2134,104,M,886000,RESIDENCE,20220527,20220708
,1512,43,BELMORE ST,BURWOOD,2134,108,M,1020000,RESIDENCE,20220519,20220714
